A2O4AGRLVX78CQ,B000001ON6,1.0,1386288000
A2PM4ZSP28ZXIH,B000001ON6,5.0,1348790400
A3ILINPH6XUL6Z,B000001ON6,5.0,1386115200
A3F6AY4V6548CL,B000001ON6,5.0,1269561600
A2RXG56DPCPC4X,B000001ON6,3.0,1397347200
A1561RLF0OTK39,B000001ON6,4.0,1373846400
A2AKNCSNUEQKSZ,B000001ON6,5.0,1356480000
ABU13T846HH3H,B000001ON6,5.0,1173657600
ARQKGQWZAKCXJ,B000001ON6,4.0,1366156800
AZ5A2S8UZ7RTL,B000001ON6,5.0,1387497600
A3JO38KMWIUHX8,B000001ON6,1.0,1270425600
A3U74ROW0WWJNG,B000001ON6,5.0,1362873600
ACXYBBQ8U8EPX,B000001ON6,5.0,1371513600
A39DZU4YRGKWAG,B000001ON6,5.0,1356480000
ADQCC6Y5SCLK5,B000001ON6,5.0,1344816000
A2YDG1XB9J2N35,B000001ON6,5.0,1366070400
A1HR7A3OGPLJZV,B000001ON6,4.0,1393891200
A3OZCXPCFML5ZF,B000001ON6,1.0,1402444800
A2SB68U0XSJA7O,B000001ON6,5.0,1370822400
A2B87V6V1ZELYN,B000001ON6,5.0,1390176000
ARBCOEQNK389G,B000001ON6,4.0,1361232000
A33GR4CDLG08T1,B000001ON6,5.0,1244160000
A37LVVWNR4R89H,B000001ON6,3.0,1372896000
A5HG60WBL7S6W,B000001ON6,4.0,1356998400
A24635DGEHASO,B000001ON6,5.0,1310515200
A2IMNY01QTJIBY,B000001ON6,5.0,1278892800
A2Q411SO79AYF1,B000001ON6,5.0,1345334400
A2KG7BD0O3UN5Q,B000001ON6,5.0,1383955200
ACTCU52HXHFW2,B000001ON6,2.0,1395964800
A2OXV9Q03XSKV6,B000001ON6,1.0,1397692800
ACI0JBKG5R1JM,B000001ON6,5.0,1364774400
A1VWCL1F394J2V,B000001ON6,5.0,1400112000
A11IJ1DUN5DGMH,B000001ON6,4.0,1267228800
A2XTPC8OBW4BLB,B000001ON6,5.0,1362787200
A15X8N2DC4FEWL,B000001ON6,1.0,1342310400
A1QO6N3XBPLB6C,B000001ON6,3.0,1386028800
A1C1T83YTXLLBY,B000001ON6,4.0,1368921600
A3IGCSME1QONQL,B000001ON6,5.0,1387756800
A189FZP806OVYT,B000001ON6,5.0,1328313600
A13VI5XALAKCCR,B000001ON6,4.0,1377216000
A1O8B339CM5VAU,B000001ON6,5.0,1222300800
